Job Start: Wed Jan 28 06:24:26 PM CST 2026
Node: cn1
Using device: cuda
Loading labeled dataset for Supervised + Physics training...
Dataset Stats: Mean=-0.0837, Std=1.2627
✅ 预训练权重已加载 (匹配 79/79)。
⚠️ 预训练中多余参数数量: 18
🚀 Starting Supervised + Physics Fine-tuning...
Epoch 109: Total Loss=4.7483 | MSE=0.2429
Epoch 110: Total Loss=4.7316 | MSE=0.2416
Epoch 111: Total Loss=4.7138 | MSE=0.2406
Epoch 112: Total Loss=4.8094 | MSE=0.2452
Epoch 113: Total Loss=4.8597 | MSE=0.2474
Epoch 114: Total Loss=4.8435 | MSE=0.2471
Epoch 115: Total Loss=4.7655 | MSE=0.2439
Epoch 116: Total Loss=4.8216 | MSE=0.2460
Epoch 117: Total Loss=4.7810 | MSE=0.2430
Epoch 118: Total Loss=4.7904 | MSE=0.2451
Epoch 119: Total Loss=4.6266 | MSE=0.2362
Epoch 120: Total Loss=4.9192 | MSE=0.2504
Epoch 121: Total Loss=4.8340 | MSE=0.2481
Epoch 122: Total Loss=5.0489 | MSE=0.2585
Epoch 123: Total Loss=4.9053 | MSE=0.2504
Epoch 124: Total Loss=4.8652 | MSE=0.2496
Epoch 125: Total Loss=5.0083 | MSE=0.2567
Epoch 126: Total Loss=4.8041 | MSE=0.2458
Epoch 127: Total Loss=5.1099 | MSE=0.2621
Epoch 128: Total Loss=5.0158 | MSE=0.2563
Epoch 129: Total Loss=4.8557 | MSE=0.2484
Epoch 130: Total Loss=4.7923 | MSE=0.2465
Epoch 131: Total Loss=5.1088 | MSE=0.2607
Epoch 132: Total Loss=5.0983 | MSE=0.2596
Epoch 133: Total Loss=4.9001 | MSE=0.2510
Epoch 134: Total Loss=4.8982 | MSE=0.2498
Epoch 135: Total Loss=5.0879 | MSE=0.2605
Epoch 136: Total Loss=5.1129 | MSE=0.2614
Epoch 137: Total Loss=5.2092 | MSE=0.2648
Epoch 138: Total Loss=5.0118 | MSE=0.2569
Epoch 139: Total Loss=4.8556 | MSE=0.2487
Epoch 140: Total Loss=5.0054 | MSE=0.2549
Epoch 141: Total Loss=5.1582 | MSE=0.2652
Epoch 142: Total Loss=4.9191 | MSE=0.2504
Epoch 143: Total Loss=5.0723 | MSE=0.2584
Epoch 144: Total Loss=5.0252 | MSE=0.2574
Epoch 145: Total Loss=5.0945 | MSE=0.2598
Epoch 146: Total Loss=5.1414 | MSE=0.2630
Epoch 147: Total Loss=5.2186 | MSE=0.2649
Epoch 148: Total Loss=5.2588 | MSE=0.2683
Epoch 149: Total Loss=5.1144 | MSE=0.2616
Epoch 150: Total Loss=4.9527 | MSE=0.2540
✅ Fine-tuning complete! Model learned from teacher (MSE).
Job End: Wed Jan 28 06:26:11 PM CST 2026
