Task ID: 6 generating graphs from index 300 to 350
🚀 开始生成谱-时序数据集 (Tasks: 300-350, Part: 6)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
  层数  0: Beta = -0.0000, Energy =  0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
  层数  0: Beta = -0.0000, Energy = -0.0000
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
  层数  0: Beta = -0.0000, Energy = -0.0000
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
  层数  0: Beta = -0.0000, Energy = -0.0000
开始 FALQON 演化 (n_qubits=10, alpha=1.0)...
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy =  0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  0: Beta = -0.0000, Energy = -0.0000
  层数  5: Beta = -0.1674, Energy =  0.0204
  层数  5: Beta = -0.4003, Energy =  0.0028
  层数  5: Beta =  0.5962, Energy = -0.0229
  层数  5: Beta =  0.0717, Energy =  0.1772
  层数  5: Beta = -0.5461, Energy =  0.7486
  层数  5: Beta =  0.0322, Energy =  0.0662
  层数  5: Beta =  0.2961, Energy = -0.0081
  层数  5: Beta =  0.2145, Energy =  0.0629
  层数  5: Beta = -0.3135, Energy =  0.1644
  层数  5: Beta =  0.1318, Energy =  0.1892
  层数  5: Beta =  0.3064, Energy =  0.1571
  层数  5: Beta =  0.1320, Energy =  0.0397
  层数  5: Beta =  0.4482, Energy =  0.0945
  层数  5: Beta = -0.3866, Energy =  0.7924
  层数  5: Beta =  0.4571, Energy =  0.0506
  层数  5: Beta =  0.1197, Energy = -0.0069
  层数  5: Beta =  0.5885, Energy =  0.2601
  层数  5: Beta =  0.7821, Energy = -0.1183
  层数  5: Beta =  0.2751, Energy = -0.0711
  层数  5: Beta = -0.3601, Energy = -0.3711
  层数  5: Beta =  0.3877, Energy =  0.0181
  层数  5: Beta =  0.0514, Energy = -0.0425
  层数  5: Beta = -0.2072, Energy =  0.2159
  层数  5: Beta =  0.4489, Energy =  0.7741
  层数  5: Beta =  0.0693, Energy =  0.1101
  层数  5: Beta = -0.2965, Energy =  0.0070
  层数  5: Beta =  0.6064, Energy = -0.1487
  层数  5: Beta = -0.2477, Energy =  0.3665
  层数  5: Beta =  0.1480, Energy =  0.1057
  层数  5: Beta = -0.3060, Energy =  0.5079
  层数  5: Beta = -1.1721, Energy =  0.2322
  层数  5: Beta = -0.5757, Energy = -0.1091
  层数 10: Beta =  0.0454, Energy =  0.1646
  层数 10: Beta = -0.3327, Energy = -0.0004
  层数 10: Beta = -0.2807, Energy = -0.1105
  层数 10: Beta =  0.2491, Energy =  0.1351
  层数 10: Beta =  0.1927, Energy =  0.1945
  层数 10: Beta = -0.1521, Energy =  0.0156
  层数 10: Beta =  0.2241, Energy =  0.2331
  层数 10: Beta = -0.5818, Energy =  0.2478
  层数 10: Beta =  0.0489, Energy =  0.1468
  层数 10: Beta = -0.6503, Energy =  0.0154
  层数 10: Beta =  0.9261, Energy =  0.1124
  层数 10: Beta = -0.3730, Energy =  0.0981
  层数 10: Beta =  1.6560, Energy =  0.5130
  层数 10: Beta = -0.0624, Energy =  0.2974
  层数 10: Beta = -0.2360, Energy =  0.1403
  层数 10: Beta = -0.5544, Energy =  0.0142
